Episode: 1457, Steps: 361, Reward: -2.4789887729279063, FPS: 73
Episode: 1458, Steps: 306, Reward: -2.391448487814035, FPS: 79
Episode: 1459, Steps: 506, Reward: -2.9433676271282074, FPS: 82
Episode: 1460, Steps: 247, Reward: -1.673024383560367, FPS: 89
Episode: 1461, Steps: 451, Reward: -3.0908119142366517, FPS: 78
Episode: 1462, Steps: 379, Reward: -2.957801126761864, FPS: 88
Episode: 1463, Steps: 397, Reward: -2.6611820398738564, FPS: 82
Episode: 1464, Steps: 410, Reward: -3.0392352518753047, FPS: 84
Episode: 1465, Steps: 337, Reward: -2.8628126182764877, FPS: 79
Episode: 1466, Steps: 381, Reward: -3.124195458061389, FPS: 80
Episode: 1467, Steps: 292, Reward: -2.61796681792592, FPS: 77
Episode: 1468, Steps: 568, Reward: -3.61922646480329, FPS: 83
Episode: 1469, Steps: 453, Reward: -3.397887628537041, FPS: 83
Episode: 1470, Steps: 339, Reward: -2.7560937679851127, FPS: 75
Episode: 1471, Steps: 474, Reward: -3.147765942383892, FPS: 87
Episode: 1472, Steps: 315, Reward: -2.2612977744235208, FPS: 73
Episode: 1473, Steps: 370, Reward: -2.6316743012969015, FPS: 92
Episode: 1474, Steps: 633, Reward: -3.240779625110158, FPS: 79
Episode: 1475, Steps: 590, Reward: -3.0969495686099795, FPS: 80
Episode: 1476, Steps: 265, Reward: -2.6048595490220308, FPS: 86
Episode: 1477, Steps: 320, Reward: -2.3336980583589995, FPS: 73
Episode: 1478, Steps: 448, Reward: -3.268371261458962, FPS: 89
Episode: 1479, Steps: 581, Reward: -3.4687346996338118, FPS: 74
Episode: 1480, Steps: 577, Reward: -3.1208496703498985, FPS: 76
Episode: 1481, Steps: 349, Reward: -3.002313473667748, FPS: 80
Episode: 1482, Steps: 430, Reward: -2.5493844358652895, FPS: 80
Episode: 1483, Steps: 382, Reward: -2.56215906876047, FPS: 79
Episode: 1484, Steps: 675, Reward: -3.5993805175596476, FPS: 87
Episode: 1485, Steps: 328, Reward: -2.3860217580607386, FPS: 79
Episode: 1486, Steps: 468, Reward: -2.8742495022261956, FPS: 75
Episode: 1487, Steps: 373, Reward: -2.667677502931034, FPS: 80
Episode: 1488, Steps: 373, Reward: -2.777671303505935, FPS: 70
Episode: 1489, Steps: 605, Reward: -3.0743913439290544, FPS: 81
Episode: 1490, Steps: 569, Reward: -3.329992230347403, FPS: 82
Episode: 1491, Steps: 381, Reward: -3.0376809592303675, FPS: 75
Episode: 1492, Steps: 513, Reward: -2.6648915322532423, FPS: 79
Episode: 1493, Steps: 299, Reward: -2.609567884835047, FPS: 84
Episode: 1494, Steps: 242, Reward: -2.0176348680531886, FPS: 88
Episode: 1495, Steps: 409, Reward: -2.1083455866315717, FPS: 83
Episode: 1496, Steps: 401, Reward: -2.701910979167288, FPS: 86
Episode: 1497, Steps: 344, Reward: -2.1639920859015773, FPS: 76
Episode: 1498, Steps: 392, Reward: -2.831667394315085, FPS: 94
Episode: 1499, Steps: 588, Reward: -3.4161467839290287, FPS: 82
Episode: 1500, Steps: 401, Reward: -3.437523337427148, FPS: 53
Avg Eval Reward over 100 episodes: -2.7452219076871516
Saving model. Average Eval Reward below 1.8.
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
Episode: 1501, Steps: 307, Reward: -2.7579702626759555, FPS: 73
Episode: 1502, Steps: 394, Reward: -2.619553471156486, FPS: 84
Episode: 1503, Steps: 278, Reward: -2.6860363431337495, FPS: 72
Episode: 1504, Steps: 308, Reward: -2.5225083872432457, FPS: 85
Episode: 1505, Steps: 276, Reward: -2.5814703962070773, FPS: 70
Episode: 1506, Steps: 245, Reward: -2.499364871510714, FPS: 78
Episode: 1507, Steps: 269, Reward: -2.406530963798038, FPS: 93
Episode: 1508, Steps: 396, Reward: -2.8751648707962674, FPS: 77
Episode: 1509, Steps: 789, Reward: -4.178821011889207, FPS: 82
Episode: 1510, Steps: 377, Reward: -3.056968185038556, FPS: 86
Episode: 1511, Steps: 384, Reward: -2.326593503282407, FPS: 77
Episode: 1512, Steps: 415, Reward: -2.343536989086064, FPS: 91
Episode: 1513, Steps: 335, Reward: -2.802639085433265, FPS: 71
Episode: 1514, Steps: 309, Reward: -2.5331453742967667, FPS: 99
Episode: 1515, Steps: 319, Reward: -2.58663747190947, FPS: 69
Episode: 1516, Steps: 322, Reward: -2.6295026858497756, FPS: 83
Episode: 1517, Steps: 380, Reward: -2.457513759703324, FPS: 71
Episode: 1518, Steps: 611, Reward: -3.496701747245627, FPS: 80
Episode: 1519, Steps: 251, Reward: -2.65120034069236, FPS: 76
